epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,83.98242950439453,,,,,
0,99,,72.36893463134766,,,,,
0,149,,57.402587890625,,,,,
0,199,,49.84795379638672,,,,,
0,213,,,14.235177993774414,1423517568.0,14.257136344909668,2.0,14.257136344909668
0,213,68.86200714111328,,,,,,
1,249,,35.04857635498047,,,,,
1,299,,24.390310287475586,,,,,
1,349,,18.1134090423584,,,,,
1,399,,18.94417953491211,,,,,
1,427,,,7.5618133544921875,756181376.0,7.686465263366699,2.0,7.686465263366699
1,427,24.001758575439453,,,,,,
2,449,,18.80265235900879,,,,,
2,499,,13.493048667907715,,,,,
2,549,,16.128021240234375,,,,,
2,599,,13.856756210327148,,,,,
2,641,,,5.7870588302612305,578705856.0,5.854578018188477,2.0,5.854578018188477
2,641,15.260912895202637,,,,,,
3,649,,12.24067497253418,,,,,
3,699,,16.445226669311523,,,,,
3,749,,14.994890213012695,,,,,
3,799,,11.51133918762207,,,,,
3,849,,10.623659133911133,,,,,
3,855,,,7.080992221832275,708099200.0,7.243252754211426,2.0,7.243252754211426
3,855,12.828432083129883,,,,,,
4,899,,13.398401260375977,,,,,
4,949,,9.311182022094727,,,,,
4,999,,9.947575569152832,,,,,
4,1049,,11.89764404296875,,,,,
4,1069,,,3.978384494781494,397838400.0,4.011395454406738,2.0,4.011395454406738
4,1069,11.648959159851074,,,,,,
5,1099,,10.581546783447266,,,,,
5,1149,,10.70835018157959,,,,,
5,1199,,10.017984390258789,,,,,
5,1249,,9.408557891845703,,,,,
5,1283,,,2.1336710453033447,213367088.0,2.1691346168518066,2.0,2.1691346168518066
5,1283,10.887968063354492,,,,,,
6,1299,,8.444705963134766,,,,,
6,1349,,10.131416320800781,,,,,
6,1399,,9.542709350585938,,,,,
6,1449,,10.213630676269531,,,,,
6,1497,,,5.675812721252441,567581248.0,5.847139835357666,2.0,5.847139835357666
6,1497,10.06863021850586,,,,,,
7,1499,,8.898662567138672,,,,,
7,1549,,9.607473373413086,,,,,
7,1599,,9.518016815185547,,,,,
7,1649,,9.273354530334473,,,,,
7,1699,,8.683552742004395,,,,,
7,1711,,,11.003181457519531,1100318080.0,11.297054290771484,2.0,11.297054290771484
7,1711,9.208771705627441,,,,,,
8,1749,,8.061318397521973,,,,,
8,1799,,6.9535417556762695,,,,,
8,1849,,7.237661838531494,,,,,
8,1899,,9.453407287597656,,,,,
8,1925,,,3.3539652824401855,335396544.0,3.3735032081604004,2.0,3.3735032081604004
8,1925,8.670848846435547,,,,,,
9,1949,,7.760221004486084,,,,,
9,1999,,7.202154636383057,,,,,
9,2049,,6.732656002044678,,,,,
9,2099,,7.556023597717285,,,,,
9,2139,,,3.3521251678466797,335212512.0,3.4154739379882812,2.0,3.4154739379882812
9,2139,8.009917259216309,,,,,,
10,2149,,8.344873428344727,,,,,
10,2199,,5.909559726715088,,,,,
10,2249,,8.720062255859375,,,,,
10,2299,,6.892179489135742,,,,,
10,2349,,6.424631595611572,,,,,
10,2353,,,3.633204698562622,363320480.0,3.692542552947998,2.0,3.692542552947998
10,2353,6.932629585266113,,,,,,
